Employee ID,Employee Name,Survey Date,Survey Year,Survey Month,Engagement Score,Rolling 3Month Engagement Avg,Previous Engagement Score,Engagement Improvement Score,Engagement Improving Level,Low Engagement Flag,Satisfaction Score,Previous_Satisfaction_Score,Satisfaction Improvement Score,Satisfaction Improvement Level,Work-Life Balance Score,Previous WLB Score,WLB Improvement Score,WLB Improvement Level,Composite Engagement Risk Score,Engagement Risk Level,Risk Employee Flag,Days Since Survey
1001,Susan Exantus,2022-10-10,2022,10,2,2,NULL,NULL,Stable,1,5,NULL,NULL,Stable,5,NULL,NULL,Stable,3.5,Needs monitoring,0,1141
1002,Sandra Martin,2023-08-03,2023,8,4,4,NULL,NULL,Stable,0,5,NULL,NULL,Stable,3,NULL,NULL,Stable,4.1,Employee is engaged,0,844
1003,Keyla Del Bosque,2023-01-03,2023,1,2,2,NULL,NULL,Stable,1,5,NULL,NULL,Stable,2,NULL,NULL,Stable,2.9,Employee At-Risk,1,1056
1004,Andrew Szabo,2023-07-30,2023,7,3,3,NULL,NULL,Stable,0,5,NULL,NULL,Stable,3,NULL,NULL,Stable,3.6,Needs monitoring,0,848
1005,Luke Patronick,2023-06-19,2023,6,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,5,NULL,NULL,Stable,3.2,Needs monitoring,0,889
1006,Colby Andreola,2023-05-03,2023,5,5,5,NULL,NULL,Stable,0,2,NULL,NULL,Stable,1,NULL,NULL,Stable,3.3,Needs monitoring,0,936
1007,Edward TRUE,2023-07-18,2023,7,2,2,NULL,NULL,Stable,1,1,NULL,NULL,Stable,5,NULL,NULL,Stable,2.3,Employee At-Risk,1,860
1008,Judith Carabbio,2023-06-21,2023,6,5,5,NULL,NULL,Stable,0,2,NULL,NULL,Stable,2,NULL,NULL,Stable,3.5,Needs monitoring,0,887
1009,Adell Saada,2023-06-06,2023,6,2,2,NULL,NULL,Stable,1,5,NULL,NULL,Stable,1,NULL,NULL,Stable,2.7,Employee At-Risk,1,902
1010,Kamari Hunter,2022-09-15,2022,9,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,2,NULL,NULL,Stable,2.6,Employee At-Risk,1,1166
1011,Sarah Malone,2022-12-08,2022,12,1,1,NULL,NULL,Stable,1,2,NULL,NULL,Stable,3,NULL,NULL,Stable,1.7,Employee At-Risk,1,1082
1012,Skyler Blackwell,2023-01-13,2023,1,3,3,NULL,NULL,Stable,0,5,NULL,NULL,Stable,4,NULL,NULL,Stable,3.8,Needs monitoring,0,1046
1013,Jasmin Shah,2022-12-13,2022,12,5,5,NULL,NULL,Stable,0,4,NULL,NULL,Stable,3,NULL,NULL,Stable,4.3,Employee is engaged,0,1077
1014,Kole Quinn,2023-06-28,2023,6,4,4,NULL,NULL,Stable,0,4,NULL,NULL,Stable,1,NULL,NULL,Stable,3.4,Needs monitoring,0,880
1015,Ansley Jackson,2023-07-11,2023,7,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,3,NULL,NULL,Stable,1.4,Employee At-Risk,1,867
1016,Jayda Reese,2022-12-09,2022,12,2,2,NULL,NULL,Stable,1,3,NULL,NULL,Stable,2,NULL,NULL,Stable,2.3,Employee At-Risk,1,1081
1017,Julien Whitehead,2023-07-16,2023,7,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,3,NULL,NULL,Stable,2.9,Employee At-Risk,1,862
1018,Alan Haynes,2023-06-21,2023,6,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,3.1,Needs monitoring,0,887
1019,Kamryn Herrera,2023-06-21,2023,6,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,5,NULL,NULL,Stable,2.4,Employee At-Risk,1,887
1020,Kelvin Foster,2023-08-01,2023,8,2,2,NULL,NULL,Stable,1,1,NULL,NULL,Stable,2,NULL,NULL,Stable,1.7,Employee At-Risk,1,846
1021,Joe Fletcher,2023-03-09,2023,3,5,5,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,3.6,Needs monitoring,0,991
1022,Frederick Howe,2023-02-12,2023,2,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,4,NULL,NULL,Stable,2.5,Employee At-Risk,1,1016
1023,Nickolas Davila,2023-01-17,2023,1,4,4,NULL,NULL,Stable,0,4,NULL,NULL,Stable,3,NULL,NULL,Stable,3.8,Needs monitoring,0,1042
1024,Kasey Boyer,2022-10-12,2022,10,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,1,NULL,NULL,Stable,3.6,Needs monitoring,0,1139
1025,Giovanni Jenkins,2023-01-24,2023,1,4,4,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,3.1,Needs monitoring,0,1035
1026,Alexis Moss,2022-10-09,2022,10,5,5,NULL,NULL,Stable,0,2,NULL,NULL,Stable,5,NULL,NULL,Stable,4.1,Employee is engaged,0,1142
1027,Joanna Murphy,2023-04-05,2023,4,2,2,NULL,NULL,Stable,1,3,NULL,NULL,Stable,5,NULL,NULL,Stable,2.9,Employee At-Risk,1,964
1028,Joseph Schmidt,2023-03-26,2023,3,5,5,NULL,NULL,Stable,0,5,NULL,NULL,Stable,4,NULL,NULL,Stable,4.8,Employee is engaged,0,974
1029,Brittany Hurley,2022-11-07,2022,11,3,3,NULL,NULL,Stable,0,5,NULL,NULL,Stable,4,NULL,NULL,Stable,3.8,Needs monitoring,0,1113
1030,Niko Hamilton,2023-01-03,2023,1,4,4,NULL,NULL,Stable,0,4,NULL,NULL,Stable,1,NULL,NULL,Stable,3.4,Needs monitoring,0,1056
1031,Ruben Martinez,2023-02-27,2023,2,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,2,NULL,NULL,Stable,3.8,Needs monitoring,0,1001
1032,Kiley Haynes,2023-05-22,2023,5,5,5,NULL,NULL,Stable,0,4,NULL,NULL,Stable,4,NULL,NULL,Stable,4.5,Employee is engaged,0,917
1033,Blaine Brooks,2023-07-02,2023,7,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,3,NULL,NULL,Stable,2.4,Employee At-Risk,1,876
1034,Dennis Livingston,2023-07-09,2023,7,2,2,NULL,NULL,Stable,1,5,NULL,NULL,Stable,1,NULL,NULL,Stable,2.7,Employee At-Risk,1,869
1035,Case Russell,2023-07-19,2023,7,1,1,NULL,NULL,Stable,1,5,NULL,NULL,Stable,5,NULL,NULL,Stable,3,Needs monitoring,0,859
1036,Kody Jimenez,2022-08-09,2022,8,5,5,NULL,NULL,Stable,0,2,NULL,NULL,Stable,1,NULL,NULL,Stable,3.3,Needs monitoring,0,1203
1037,Zoe Colon,2022-11-25,2022,11,5,5,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,3.6,Needs monitoring,0,1095
1038,Courtney Cowan,2023-03-10,2023,3,5,5,NULL,NULL,Stable,0,1,NULL,NULL,Stable,2,NULL,NULL,Stable,3.2,Needs monitoring,0,990
1039,Nolan Perez,2022-12-03,2022,12,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,5,NULL,NULL,Stable,3.2,Needs monitoring,0,1087
1040,Katrina Farrell,2022-09-27,2022,9,5,5,NULL,NULL,Stable,0,3,NULL,NULL,Stable,1,NULL,NULL,Stable,3.6,Needs monitoring,0,1154
1041,Camden Kelly,2023-01-19,2023,1,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,2.6,Employee At-Risk,1,1040
1042,Milo Hood,2023-02-17,2023,2,1,1,NULL,NULL,Stable,1,3,NULL,NULL,Stable,4,NULL,NULL,Stable,2.2,Employee At-Risk,1,1011
1043,Kale Lang,2023-02-25,2023,2,1,1,NULL,NULL,Stable,1,1,NULL,NULL,Stable,3,NULL,NULL,Stable,1.4,Employee At-Risk,1,1003
1044,Shyanne Stark,2022-11-26,2022,11,2,2,NULL,NULL,Stable,1,4,NULL,NULL,Stable,5,NULL,NULL,Stable,3.2,Needs monitoring,0,1094
1045,Elliott Ashley,2022-08-08,2022,8,1,1,NULL,NULL,Stable,1,4,NULL,NULL,Stable,1,NULL,NULL,Stable,1.9,Employee At-Risk,1,1204
1046,Genesis Todd,2023-02-18,2023,2,3,3,NULL,NULL,Stable,0,5,NULL,NULL,Stable,4,NULL,NULL,Stable,3.8,Needs monitoring,0,1010
1047,Sincere Jimenez,2023-05-12,2023,5,4,4,NULL,NULL,Stable,0,2,NULL,NULL,Stable,3,NULL,NULL,Stable,3.2,Needs monitoring,0,927
1048,Stephen Daugherty,2022-10-19,2022,10,3,3,NULL,NULL,Stable,0,1,NULL,NULL,Stable,4,NULL,NULL,Stable,2.6,Employee At-Risk,1,1132
1049,Demarion Morrow,2023-07-27,2023,7,3,3,NULL,NULL,Stable,0,5,NULL,NULL,Stable,2,NULL,NULL,Stable,3.4,Needs monitoring,0,851
