ApplicantID,Applicant Full Name,Application Status,Application Date,Application Year,Application Month,Days Since Application,Gender,Age At Application,Education Level,Years Of Experience,Current Job Department,Education Score,Experience Score,Candidate Score,Age Advantage Score,Candidate Ranking score,Candidate Ranking Category,Expected Salary Band,Is Selected Flag,Is Rejected Flag
1001,Scott Sheppard,Interviewing,2023-06-03,2023,6,905,Male,31,High School,8,Not Mentioned,1,4,2.8,3,4.8,Good candidates,High Range,0,0
1002,Stanley Lewis,Rejected,2023-05-15,2023,5,924,Male,58,Bachelor's Degree,17,furniture,3,5,4.2,1,6.5,"Strong fit, top candidates",High Range,0,1
1003,Javier Li,Rejected,2023-08-04,2023,8,843,Female,50,PhD,20,broadcasting/film/video,5,5,5,1,7.825,"Strong fit, top candidates",Mid Range,0,1
1004,Christopher Johnston,Rejected,2023-07-28,2023,7,850,Other,22,High School,8,Not Mentioned,1,4,2.8,1,4.4,Good candidates,Mid Range,0,1
1005,Melissa Hicks,Interviewing,2023-06-05,2023,6,903,Other,45,Master's Degree,0,Not Mentioned,4,1,2.2,2,3.7,Weak candidates,Mid Range,0,0
1006,Christian Maddox,In Review,2023-07-26,2023,7,852,Female,40,Master's Degree,18,electronics,4,5,4.6,2,7.76,"Strong fit, top candidates",High Range,0,0
1007,Paul Hammond,Offered,2023-06-09,2023,6,899,Female,60,High School,11,research (maths),1,5,3.4,1,5.64,Good candidates,High Range,1,0
1008,Madison Williamson,Offered,2023-07-15,2023,7,863,Male,45,Bachelor's Degree,0,primary school,3,1,1.8,2,3.19,Weak candidates,Mid Range,1,0
1009,Rachael Duran,Interviewing,2023-06-16,2023,6,892,Male,26,High School,15,Not Mentioned,1,5,3.4,3,5.7,Good candidates,Mid Range,0,0
1010,Sherri Taylor,Offered,2023-05-25,2023,5,914,Male,40,Master's Degree,4,airline,4,2,2.8,2,4.6,Good candidates,High Range,1,0
1011,Jennifer Weaver,In Review,2023-05-14,2023,5,925,Other,25,PhD,19,Not Mentioned,5,5,5,3,8.1,"Strong fit, top candidates",Mid Range,0,0
1012,Kyle Blake,Pending Review,2023-06-04,2023,6,904,Other,22,Bachelor's Degree,7,Not Mentioned,3,3,3,1,4.7,Good candidates,High Range,0,0
1013,James Bailey,Offered,2023-07-23,2023,7,855,Female,40,Master's Degree,12,Not Mentioned,4,5,4.6,2,7.3,"Strong fit, top candidates",High Range,1,0
1014,Heidi Wood,Rejected,2023-06-12,2023,6,896,Male,58,Bachelor's Degree,9,Not Mentioned,3,4,3.6,1,5.6,Good candidates,Mid Range,0,1
1015,Johnny Nguyen,Rejected,2023-07-04,2023,7,874,Other,52,Bachelor's Degree,2,Not Mentioned,3,2,2.4,1,3.8,Weak candidates,High Range,0,1
1016,Olivia Watson,Interviewing,2023-07-26,2023,7,852,Female,53,Master's Degree,2,research (physical sciences),4,2,2.8,1,4.68,Good candidates,Mid Range,0,0
1017,Anita Jenkins,In Review,2023-05-16,2023,5,923,Male,19,Master's Degree,20,Not Mentioned,4,5,4.6,1,7.1,"Strong fit, top candidates",High Range,0,0
1018,John Coleman,Offered,2023-06-12,2023,6,896,Female,18,Bachelor's Degree,20,retail,3,5,4.2,1,6.29,"Strong fit, top candidates",Mid Range,1,0
1019,Adam Best,Rejected,2023-06-26,2023,6,882,Other,22,PhD,12,retail,5,5,5,1,7.45,"Strong fit, top candidates",Mid Range,0,1
1020,Cheryl Peterson,Interviewing,2023-05-23,2023,5,916,Male,33,Bachelor's Degree,6,Not Mentioned,3,3,3,3,5.1,Good candidates,Mid Range,0,0
1021,Rebecca Jensen,Offered,2023-07-03,2023,7,875,Female,21,Master's Degree,15,dispensing,4,5,4.6,1,7.1,"Strong fit, top candidates",High Range,1,0
1022,Gabriel Norris,Rejected,2023-08-03,2023,8,844,Female,48,Master's Degree,17,marine,4,5,4.6,1,7.56,"Strong fit, top candidates",Mid Range,0,1
