Employee ID,Training Program Name,Trainer,Training Date,Training Year,Training Month,Training Quarter,Training Outcome,Is Completed,Is Passed,Training Count Per Employee,Training Duration Days,Training Hours,Training Cost,Cost per Day,Program Popularity,Trainer Effectiveness
3191,Project Management,Aaron Beasley,2023-02-05,2023,2,Q1,Incomplete,0,0,1,3,24,476.39,158.8,609,0
2040,Communication Skills,Aaron Bowen,2023-04-22,2023,4,Q2,Passed,0,1,1,5,40,753.51,150.7,673,1
2677,Technical Skills,Aaron Duncan,2022-12-30,2022,12,Q4,Incomplete,0,0,1,4,32,843.69,210.92,579,0
1773,Leadership Development,Aaron Hubbard,2022-12-30,2022,12,Q4,Passed,0,1,1,2,16,817.45,408.73,574,1
2101,Leadership Development,Aaron Jones,2023-06-29,2023,6,Q2,Completed,1,0,1,1,8,751.81,751.81,574,1
3177,Leadership Development,Aaron Reed,2023-03-25,2023,3,Q1,Incomplete,0,0,1,2,16,423.71,211.85,574,0
2219,Technical Skills,Abigail Gardner,2023-01-03,2023,1,Q1,Failed,0,0,1,5,40,401.35,80.27,579,0
2724,Leadership Development,Abigail Higgins,2023-06-03,2023,6,Q2,Completed,1,0,1,2,16,611.51,305.75,574,1
1846,Communication Skills,Abigail Underwood,2023-04-25,2023,4,Q2,Passed,0,1,1,4,32,964.4,241.1,673,1
3933,Communication Skills,Adam Frye,2022-08-23,2022,8,Q3,Incomplete,0,0,1,1,8,559.55,559.55,673,0
1800,Technical Skills,Adam Luna,2023-04-17,2023,4,Q2,Failed,0,0,1,1,8,732.84,732.84,579,0
1096,Technical Skills,Adam Robinson,2022-09-25,2022,9,Q3,Incomplete,0,0,1,5,40,778.25,155.65,579,0
3413,Customer Service,Adam Sanford,2023-03-20,2023,3,Q1,Passed,0,1,1,5,40,394.1,78.82,565,1
1376,Customer Service,Adam Smith,2023-08-02,2023,8,Q3,Completed,1,0,1,3,24,795.72,265.24,565,1
2124,Leadership Development,Adam Smith PhD,2023-04-26,2023,4,Q2,Completed,1,0,1,2,16,238.23,119.11,574,1
1712,Communication Skills,Adam Walters,2023-06-06,2023,6,Q2,Completed,1,0,1,2,16,581.16,290.58,673,1
2032,Customer Service,Adrian Clark,2022-11-21,2022,11,Q4,Completed,1,0,1,3,24,873.52,291.17,565,1
2350,Leadership Development,Adrian Flores,2023-03-09,2023,3,Q1,Failed,0,0,1,3,24,858.34,286.11,574,0
1332,Leadership Development,Adrian Gray,2022-08-13,2022,8,Q3,Incomplete,0,0,1,4,32,231.76,57.94,574,0
3146,Technical Skills,Alan Barry,2023-03-06,2023,3,Q1,Passed,0,1,1,5,40,560.03,112.01,579,1
3985,Communication Skills,Alan Cook,2022-10-16,2022,10,Q4,Passed,0,1,1,4,32,956.95,239.24,673,1
1197,Technical Skills,Alan Hall,2023-02-25,2023,2,Q1,Passed,0,1,1,5,40,575.1,115.02,579,1
3611,Customer Service,Alan Robinson,2023-01-07,2023,1,Q1,Completed,1,0,1,1,8,482.09,482.09,565,1
2527,Technical Skills,Albert Armstrong,2022-11-24,2022,11,Q4,Passed,0,1,1,2,16,462.98,231.49,579,1
2217,Communication Skills,Albert Clark,2023-03-23,2023,3,Q1,Failed,0,0,1,1,8,315.39,315.39,673,0
1472,Project Management,Albert Schneider,2023-04-11,2023,4,Q2,Passed,0,1,1,3,24,416.76,138.92,609,1
3699,Customer Service,Alejandro Bates,2022-08-19,2022,8,Q3,Passed,0,1,1,1,8,973.34,973.34,565,1
3789,Technical Skills,Alejandro Carter,2022-10-26,2022,10,Q4,Incomplete,0,0,1,1,8,997.38,997.38,579,0
1342,Project Management,Alejandro Flynn,2023-01-28,2023,1,Q1,Failed,0,0,1,4,32,930.72,232.68,609,0
2876,Project Management,Alejandro Newman,2023-07-05,2023,7,Q3,Failed,0,0,1,1,8,429.89,429.89,609,0
2932,Communication Skills,Alex Scott,2023-05-17,2023,5,Q2,Completed,1,0,1,2,16,275.36,137.68,673,1
2678,Project Management,Alexa Brown,2023-04-06,2023,4,Q2,Failed,0,0,1,3,24,166.28,55.43,609,0
2447,Technical Skills,Alexander Bradley,2022-08-21,2022,8,Q3,Completed,1,0,1,1,8,505.6,505.6,579,1
2302,Project Management,Alexander Garcia,2023-03-11,2023,3,Q1,Passed,0,1,1,2,16,173.45,86.72,609,1
2173,Technical Skills,Alexander Harris,2023-04-18,2023,4,Q2,Completed,1,0,1,5,40,372.55,74.51,579,1
2093,Leadership Development,Alexander King,2023-04-23,2023,4,Q2,Failed,0,0,1,5,40,628.62,125.72,574,0
1967,Customer Service,Alexander Myers,2023-07-23,2023,7,Q3,Incomplete,0,0,1,4,32,300.95,75.24,565,0
2254,Project Management,Alexander Perez,2022-11-20,2022,11,Q4,Failed,0,0,1,4,32,267.76,66.94,609,0
3238,Project Management,Alexander Tanner,2023-02-08,2023,2,Q1,Incomplete,0,0,1,2,16,964.12,482.06,609,0
2881,Leadership Development,Alexandra Andrews,2023-05-18,2023,5,Q2,Incomplete,0,0,1,1,8,624.59,624.59,574,0
3297,Communication Skills,Alexandra Garcia,2023-05-11,2023,5,Q2,Incomplete,0,0,1,1,8,440.54,440.54,673,0
1037,Leadership Development,Alexandra Hall,2022-10-25,2022,10,Q4,Failed,0,0,1,2,16,646.76,323.38,574,0
1599,Leadership Development,Alexandra Lin,2023-05-17,2023,5,Q2,Passed,0,1,1,2,16,848.72,424.36,574,1
1264,Customer Service,Alexandra Riley,2023-05-16,2023,5,Q2,Failed,0,0,1,5,40,509.67,101.93,565,0
2825,Technical Skills,Alexandra Smith,2022-11-02,2022,11,Q4,Completed,1,0,1,2,16,363.8,181.9,579,1
3883,Communication Skills,Alexandria Davis,2023-07-05,2023,7,Q3,Incomplete,0,0,1,2,16,842.6,421.3,673,0
3898,Technical Skills,Alexis Johnson,2022-11-21,2022,11,Q4,Failed,0,0,1,4,32,942.24,235.56,579,0
2585,Customer Service,Alexis Lee,2023-02-18,2023,2,Q1,Incomplete,0,0,1,1,8,909.6,909.6,565,0
1562,Leadership Development,Alexis Ryan,2022-12-24,2022,12,Q4,Passed,0,1,1,2,16,578.66,289.33,574,1
3039,Leadership Development,Alice Mcbride,2023-01-05,2023,1,Q1,Completed,1,0,1,2,16,130.81,65.41,574,1
1261,Project Management,Alicia Dunn,2023-07-26,2023,7,Q3,Incomplete,0,0,1,3,24,613.93,204.64,609,0
1252,Leadership Development,Alicia Moore,2022-11-20,2022,11,Q4,Completed,1,0,1,1,8,314.51,314.51,574,1
1679,Leadership Development,Alicia Reed,2023-03-25,2023,3,Q1,Failed,0,0,1,5,40,213.06,42.61,574,0
1462,Leadership Development,Alisha Petersen,2023-02-02,2023,2,Q1,Completed,1,0,1,4,32,152.66,38.16,574,1
2399,Customer Service,Alisha Wade,2023-03-15,2023,3,Q1,Passed,0,1,1,1,8,329.83,329.83,565,1
2661,Communication Skills,Allen Miller,2023-01-12,2023,1,Q1,Completed,1,0,1,4,32,220.32,55.08,673,1
1560,Technical Skills,Allen Spencer,2023-07-05,2023,7,Q3,Completed,1,0,1,2,16,821.41,410.7,579,1
3233,Communication Skills,Allison Brooks,2022-12-28,2022,12,Q4,Incomplete,0,0,1,2,16,403.42,201.71,673,0
3399,Leadership Development,Allison Brown,2022-12-01,2022,12,Q4,Failed,0,0,1,3,24,898.26,299.42,574,0
2791,Communication Skills,Allison Manning,2023-04-08,2023,4,Q2,Passed,0,1,1,3,24,903.18,301.06,673,1
2725,Technical Skills,Allison Moore,2022-12-29,2022,12,Q4,Incomplete,0,0,1,2,16,354.21,177.1,579,0
2430,Technical Skills,Allison Poole,2023-05-26,2023,5,Q2,Passed,0,1,1,2,16,622.08,311.04,579,1
3231,Customer Service,Alyssa Lowe,2022-10-24,2022,10,Q4,Failed,0,0,1,3,24,668.59,222.86,565,0
2599,Customer Service,Alyssa Mitchell,2023-02-13,2023,2,Q1,Failed,0,0,1,2,16,288.93,144.47,565,0
2857,Customer Service,Alyssa Morrow,2022-12-25,2022,12,Q4,Completed,1,0,1,3,24,229.18,76.39,565,1
3674,Project Management,Alyssa Swanson,2022-11-08,2022,11,Q4,Completed,1,0,1,2,16,223.29,111.64,609,1
1940,Communication Skills,Alyssa White,2023-01-16,2023,1,Q1,Failed,0,0,1,2,16,342.26,171.13,673,0
1290,Leadership Development,Alyssa Williams,2023-05-14,2023,5,Q2,Completed,1,0,1,4,32,140.72,35.18,574,1
2811,Technical Skills,Amanda Andersen,2022-11-04,2022,11,Q4,Completed,1,0,1,3,24,589.88,196.63,579,1
3250,Communication Skills,Amanda Black,2023-02-06,2023,2,Q1,Completed,1,0,1,1,8,232.39,232.39,673,1
3052,Technical Skills,Amanda Bradshaw,2022-10-01,2022,10,Q4,Incomplete,0,0,1,3,24,824.73,274.91,579,0
1354,Communication Skills,Amanda Brooks,2023-08-03,2023,8,Q3,Failed,0,0,1,2,16,983.37,491.69,673,0
3869,Project Management,Amanda Chase,2023-03-19,2023,3,Q1,Completed,1,0,1,2,16,905.51,452.75,609,1
1058,Project Management,Amanda Christian,2023-04-01,2023,4,Q2,Incomplete,0,0,1,1,8,855.67,855.67,609,0
2423,Technical Skills,Amanda Clayton,2023-06-15,2023,6,Q2,Failed,0,0,1,5,40,523.75,104.75,579,0
1001,Customer Service,Amanda Daniels,2022-09-21,2022,9,Q3,Failed,0,0,1,4,32,510.83,127.71,565,0
2679,Communication Skills,Amanda Decker,2022-08-17,2022,8,Q3,Completed,1,0,1,2,16,119.62,59.81,673,1
1542,Leadership Development,Amanda Fowler,2022-10-07,2022,10,Q4,Incomplete,0,0,1,4,32,180.73,45.18,574,0
2785,Technical Skills,Amanda Gardner,2022-11-26,2022,11,Q4,Completed,1,0,1,1,8,925.68,925.68,579,1
3492,Project Management,Amanda Greene,2022-09-06,2022,9,Q3,Incomplete,0,0,1,3,24,327.66,109.22,609,0
2682,Communication Skills,Amanda Huff,2023-05-05,2023,5,Q2,Failed,0,0,1,3,24,238.12,79.37,673,0
1763,Leadership Development,Amanda Hughes,2023-03-02,2023,3,Q1,Completed,1,0,1,2,16,723.9,361.95,574,1
2587,Project Management,Amanda Johnson,2023-01-27,2023,1,Q1,Failed,0,0,1,3,24,583.69,194.56,609,0
2172,Project Management,Amanda Kelly,2023-06-23,2023,6,Q2,Incomplete,0,0,1,2,16,198.08,99.04,609,0
2362,Project Management,Amanda Lee,2023-02-06,2023,2,Q1,Incomplete,0,0,1,3,24,543.65,181.22,609,0.5
2287,Communication Skills,Amanda Lee,2023-03-29,2023,3,Q1,Passed,0,1,1,4,32,560.64,140.16,673,0.5
