EmployeeID,Full Name,StartDate,ExitDate,Job Title,Department Type,Gender Code,Race Description,Tenure_Days,Is_Active_Flag,Joining year,Exit year,Start Date Age,Exit Date Age,Age Group,Performance Category,Employee Lifetime Value,Seniority Level,Tenure Risk Score,Age Risk Score,Performance Risk Score,Retention Risk Category
3427,Uriah Bridges,2019-09-20,NULL,Production Technician I,Production,Female,White,0,1,2019,0,50,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3428,Paula Small,2023-02-11,NULL,Production Technician I,Production,Male,Hispanic,0,1,2023,0,58,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3429,Edward Buck,2018-12-10,NULL,Area Sales Manager,Sales,Male,Hispanic,0,1,2018,0,27,0,25-34,Fully Meets,Low Value,Junior,1,2,3,Medium
3430,Michael Riordan,2021-06-21,NULL,Area Sales Manager,Sales,Male,Other,0,1,2021,0,23,0,25-34,Fully Meets,Low Value,Junior,2,2,3,High risk
3431,Jasmine Onque,2019-06-29,NULL,Area Sales Manager,Sales,Female,Other,0,1,2019,0,50,0,55+,Fully Meets,Low Value,Junior,1,1,3,Medium
3432,Maruk Fraval,2020-01-17,NULL,Area Sales Manager,Sales,Male,Black,0,1,2020,0,71,0,55+,Fully Meets,Low Value,Junior,2,1,3,Medium
3433,Latia Costa,2022-04-06,2023-07-03,Area Sales Manager,Sales,Female,Hispanic,453,0,2022,2023,80,81,55+,Exceeds,Low Value,Junior,3,1,4,High risk
3434,Sharlene Terry,2020-11-06,2023-01-29,Area Sales Manager,Sales,Female,White,814,0,2020,2023,63,66,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3435,Jac McKinzie,2018-08-18,NULL,Area Sales Manager,Sales,Male,Black,0,1,2018,0,44,0,45-54,Exceeds,Low Value,Junior,1,3,4,High risk
3436,Joseph Martins,2022-01-21,2023-06-29,Area Sales Manager,Sales,Male,Asian,524,0,2022,2023,73,74,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3437,Myriam Givens,2023-08-04,NULL,Area Sales Manager,Sales,Female,Other,0,1,2023,0,59,0,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3438,Dheepa Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Sales,Female,Asian,451,0,2018,2019,70,71,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3439,Bartholemew Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Sales,Male,Other,186,0,2022,2022,41,41,35-44,Fully Meets,Low Value,Junior,4,4,3,High risk
3440,Xana Potts,2019-12-05,2023-02-17,Area Sales Manager,Sales,Female,White,1170,0,2019,2023,68,72,55+,Fully Meets,Medium Value,Mid,2,1,3,Medium
3441,Prater Jeremy,2019-04-28,NULL,Area Sales Manager,Sales,Male,Asian,0,1,2019,0,30,0,35-44,Exceeds,Low Value,Junior,1,4,4,High risk
3442,Kaylah Moon,2019-07-09,2022-06-16,Area Sales Manager,IT/IS,Male,Black,1073,0,2019,2022,67,70,55+,Exceeds,Low Value,Junior,3,1,4,High risk
3443,Kristen Tate,2021-04-05,2023-05-12,Area Sales Manager,IT/IS,Male,Asian,767,0,2021,2023,27,29,25-34,Fully Meets,Medium Value,Junior,3,2,3,High risk
3444,Bobby Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Sales,Male,Other,68,0,2021,2022,38,39,35-44,Fully Meets,Low Value,Junior,3,4,3,High risk
3445,Reid Park,2021-01-16,NULL,Area Sales Manager,Sales,Female,Other,0,1,2021,0,36,0,35-44,Exceeds,Low Value,Junior,2,4,4,High risk
3446,Hector Dalton,2021-08-24,NULL,Area Sales Manager,Sales,Female,White,0,1,2021,0,25,0,25-34,Exceeds,Low Value,Junior,2,2,4,High risk
3447,Mariela Schultz,2020-05-26,2023-06-18,Area Sales Manager,Sales,Female,Asian,1118,0,2020,2023,56,59,55+,Fully Meets,Medium Value,Mid,3,1,3,High risk
3448,Angela Molina,2019-10-01,2020-11-06,Area Sales Manager,Sales,Male,Asian,402,0,2019,2020,61,62,55+,Fully Meets,Low Value,Junior,3,1,3,High risk
3449,Gerald Preston,2023-05-10,2023-05-27,Area Sales Manager,Sales,Male,Black,17,0,2023,2023,31,31,25-34,Fully Meets,Low Value,Junior,4,2,3,High risk
